period,reporterDesc,partnerDesc,cmdCode,qty,altQty,netWgt,Merge_qty,primaryValue
2021,Ghana,India,710813,530382.61,530382.61,19268.747,530382.61,"$973,527,433.69"
2021,Ghana,South Africa,710813,675674.324,3797608.704,27501.882,675674.324,"$1,393,631,712.02"
2021,Ghana,Switzerland,710813,1320169.2,1320169.2,49403.677,1320169.2,"$2,405,706,522.36"
2021,Ghana,Thailand,710813,1188.493,1188.493,41.002,1188.493,"$2,203,179.52"
2021,Ghana,United Arab Emirates,710813,22381.281,22381.281,1085.253,22381.281,"$60,673,699.82"
2021,Ghana,Türkiye,710813,972.987,972.987,30.34,972.987,"$1,834,538.06"
2021,Ghana,United Kingdom,710813,120.006,120.006,3.732,120.006,"$212,855.82"
2021,Ghana,United Rep. of Tanzania,710813,3777.74,3777.74,125.001,3777.74,"$7,005,170.53"
2021,Ghana,USA,710813,129.567,129.567,12,129.567,"$697,531.86"
2021,Nigeria,World,7108,0,0,0,0,"$8,290,482.56"
2021,Nigeria,Switzerland,7108,148.61,148.61,148.61,148.61,"$7,336,973.94"
2021,Nigeria,United Arab Emirates,7108,0,0,0,0,"$577,578.59"
2021,Nigeria,Türkiye,7108,0,0,0,0,"$375,930.02"
2021,Nigeria,World,710811,0,16348.61,0,0,"$7,914,552.54"
2021,Nigeria,Switzerland,710811,148.61,148.61,148.61,148.61,"$7,336,973.94"
2021,Nigeria,United Arab Emirates,710811,0,16200,0,0,"$577,578.59"
2021,Nigeria,World,710812,0,18450,0,0,"$375,930.02"
2021,Nigeria,Türkiye,710812,0,18450,0,0,"$375,930.02"
2022,Ghana,World,7108,3816018.965,0,131349.213,3816018.965,"$6,540,960,051.31"
2022,Ghana,Belgium,7108,60.109,60.109,2.779,60.109,"$151,382.93"
2022,Ghana,Bulgaria,7108,1.534,1.534,0.048,1.534,"$2,465.78"
2022,Ghana,Canada,7108,2.424,2.424,0.075,2.424,"$4,194.59"
2022,Ghana,China,7108,360.496,360.496,12.01,360.496,"$476,349.26"
2022,Ghana,Czechia,7108,1,1,1,1,"$21,151.68"
2022,Ghana,France,7108,3.709,3.709,0.128,3.709,"$6,426.47"
2022,Ghana,"China, Hong Kong SAR",7108,13199.344,13199.344,680.221,13199.344,"$39,446,307.62"
2022,Ghana,Japan,7108,89.751,89.751,2.845,89.751,"$150,452.11"
2022,Ghana,Rep. of Korea,7108,388.674,388.674,12.988,388.674,"$783,424.16"
2022,Ghana,Kuwait,7108,301.747,301.747,10.274,301.747,"$650,040.42"
2022,Ghana,Malaysia,7108,1,1,1,1,"$50,049.69"
2022,Ghana,Oman,7108,1,1,0.93,1,"$45,738.69"
2022,Ghana,Poland,7108,29.201,29.201,0.908,29.201,"$81,192.18"
2022,Ghana,Qatar,7108,1,1,1,1,"$237,239.58"
2022,Ghana,Senegal,7108,29.982,29.982,0.932,29.982,"$47,493.09"
2022,Ghana,India,7108,729574.129,729574.129,27268.105,729574.129,"$1,400,463,715.56"
2022,Ghana,Singapore,7108,1.15,1.15,1.07,1.15,"$46,484.93"
2022,Ghana,South Africa,7108,1207402.72,0,33618.998,1207402.72,"$1,620,062,308.59"
2022,Ghana,Spain,7108,59.543,59.543,1.852,59.543,"$92,339.35"
2022,Ghana,Switzerland,7108,1759601.8,1759601.8,64667.32,1759601.8,"$3,147,154,563.37"
2022,Ghana,Thailand,7108,60.087,60.087,1.894,60.087,"$82,006.21"
2022,Ghana,United Arab Emirates,7108,99489.677,602762.96,4872.455,99489.677,"$316,874,807.16"
2022,Ghana,Türkiye,7108,1719.88,1719.88,59,1719.88,"$4,795,774.21"
2022,Ghana,USA,7108,3296.773,3296.773,119.68,3296.773,"$8,662,745.40"
2022,Ghana,Burkina Faso,7108,342.235,342.235,11.7,342.235,"$571,398.28"
2022,Ghana,World,710812,38221.667,38221.667,1190.287,38221.667,"$56,418,193.68"
2022,Ghana,India,710812,34030.079,34030.079,1059.688,34030.079,"$49,629,947.63"
2022,Ghana,Thailand,710812,1,1,0.057,1,"$4,903.81"
2022,Ghana,United Arab Emirates,710812,4190.588,4190.588,130.542,4190.588,"$6,783,342.24"
2022,Ghana,World,710813,3777797.298,4299587.793,130158.926,3777797.298,"$6,484,541,857.62"
2022,Ghana,Belgium,710813,60.109,60.109,2.779,60.109,"$151,382.93"
2022,Ghana,Bulgaria,710813,1.534,1.534,0.048,1.534,"$2,465.78"
2022,Ghana,Canada,710813,2.424,2.424,0.075,2.424,"$4,194.59"
2022,Ghana,China,710813,360.496,360.496,12.01,360.496,"$476,349.26"
2022,Ghana,Czechia,710813,1,1,1,1,"$21,151.68"
2022,Ghana,France,710813,3.709,3.709,0.128,3.709,"$6,426.47"
2022,Ghana,"China, Hong Kong SAR",710813,13199.344,13199.344,680.221,13199.344,"$39,446,307.62"
2022,Ghana,Japan,710813,89.751,89.751,2.845,89.751,"$150,452.11"
2022,Ghana,Rep. of Korea,710813,388.674,388.674,12.988,388.674,"$783,424.16"
2022,Ghana,Kuwait,710813,301.747,301.747,10.274,301.747,"$650,040.42"
2022,Ghana,Malaysia,710813,1,1,1,1,"$50,049.69"
2022,Ghana,Oman,710813,1,1,0.93,1,"$45,738.69"
2022,Ghana,Poland,710813,29.201,29.201,0.908,29.201,"$81,192.18"
2022,Ghana,Qatar,710813,1,1,1,1,"$237,239.58"
2022,Ghana,Senegal,710813,29.982,29.982,0.932,29.982,"$47,493.09"
2022,Ghana,India,710813,695544.05,695544.05,26208.417,695544.05,"$1,350,833,767.93"
2022,Ghana,Singapore,710813,1.15,1.15,1.07,1.15,"$46,484.93"
2022,Ghana,South Africa,710813,1207402.72,1225919.932,33618.998,1207402.72,"$1,620,062,308.59"
2022,Ghana,Spain,710813,59.543,59.543,1.852,59.543,"$92,339.35"
2022,Ghana,Switzerland,710813,1759601.8,1759601.8,64667.32,1759601.8,"$3,147,154,563.37"
2022,Ghana,Thailand,710813,59.087,59.087,1.838,59.087,"$77,102.39"
2022,Ghana,United Arab Emirates,710813,95299.089,598572.372,4741.912,95299.089,"$310,091,464.92"
2022,Ghana,Türkiye,710813,1719.88,1719.88,59,1719.88,"$4,795,774.21"
2022,Ghana,USA,710813,3296.773,3296.773,119.68,3296.773,"$8,662,745.40"
2022,Ghana,Burkina Faso,710813,342.235,342.235,11.7,342.235,"$571,398.28"
2022,Nigeria,World,7108,19360.459,0,19360.459,19360.459,"$150,035,854.85"
2022,Nigeria,Rep. of Korea,7108,100,100,100,100,"$48,720.82"
